SampleID,Group,PER,PE,Site
ALS1,Positive,1,0.73,1
ALS2,Positive,1,0.23,1
ALS3,Negative,0,-0.5,1
ALS4,Positive,1,0.66,1
BDGS1,Positive,1,0.85,2
BDGS2,Positive,1,0.65,2
BDGS3,Positive,1,1.19,2
BDGS4,Positive,1,1.1,2
BSZ1,Positive,1,1.64,3
BSZ2,Positive,1,1.58,3
BSZ3,Positive,1,3.49,3
BSZ4,Positive,1,1,3
CBS1,Positive,1,2.78,4
CBS2,Positive,1,0.72,4
CBS3,Positive,1,0.16,4
CBS4,Negative,0,-0.91,4
DBS1,Negative,0,-1.32,5
DBS2,Negative,0,-0.53,5
DBS3,Negative,0,-0.25,5
DBS4,Negative,0,-0.52,5
DGS1,Negative,0,-0.03,6
DGS2,Negative,0,-1.2,6
DGS3,Positive,1,0.57,6
DGS4,Negative,0,-0.4,6
DLS1,Positive,1,0.24,7
DLS2,Positive,1,0.57,7
DLS3,Positive,1,2.07,7
DLS4,Positive,1,1.85,7
DQ1,Positive,1,0.34,8
DQ2,Positive,1,0.75,8
DQ3,Positive,1,0.67,8
DQ4,Positive,1,1.31,8
DYS1,Positive,1,0.76,9
DYS2,Positive,1,0.35,9
DYS3,Positive,1,1.57,9
DYS4,Positive,1,3.51,9
EMS1,Positive,1,0.28,10
EMS2,Negative,0,-1.49,10
EMS3,Negative,0,-0.16,10
EMS4,Negative,0,-0.56,10
GSK1,Positive,1,1.52,11
GSK2,Positive,1,0.75,11
GSK3,Positive,1,1.28,11
GSK4,Positive,1,1.68,11
HBL1,Positive,1,0.47,12
HBL2,Negative,0,-1.04,12
HBL3,Positive,1,2.1,12
HBL4,Negative,0,-0.55,12
HHZL1,Positive,1,2.29,13
HHZL2,Positive,1,1.85,13
HHZL3,Positive,1,0.57,13
HHZL4,Positive,1,1.36,13
HS1,Positive,1,0.49,14
HS2,Negative,0,-0.63,14
HS3,Positive,1,1.5,14
HS4,Positive,1,0.42,14
HSD1,Positive,1,0.44,15
HSD2,Positive,1,0.03,15
HSD3,Positive,1,0.03,15
HSD4,Negative,0,-0.9,15
HT1,Negative,0,-1.67,16
HT2,Positive,1,0.9,16
HT3,Positive,1,1.65,16
HT4,Positive,1,1.15,16
JFL1,Positive,1,0.75,17
JFL2,Negative,0,-1.26,17
JFL3,Positive,1,0.6,17
JFL4,Positive,1,0.16,17
JGS1,Negative,0,-0.72,18
JGS2,Negative,0,-0.58,18
JGS3,Positive,1,0.17,18
JGS4,Negative,0,-0.22,18
LS1,Negative,0,-0.52,19
LS2,Positive,1,2.04,19
LS3,Negative,0,-0.26,19
LS4,Negative,0,-1.1,19
MX1,Positive,1,0.69,20
MX2,Positive,1,1.12,20
MX3,Positive,1,0.24,20
MX4,Positive,1,0.78,20
PD1,Positive,1,4.58,21
PD2,Positive,1,1.49,21
PD3,Positive,1,1.78,21
PD4,Positive,1,0.49,21
QY1,Positive,1,1.26,22
QY2,Positive,1,0.62,22
QY3,Positive,1,0.87,22
QY4,Positive,1,0.05,22
QYZ1,Positive,1,0.61,23
QYZ2,Positive,1,1.66,23
QYZ3,Negative,0,-0.68,23
QYZ4,Positive,1,0.38,23
SNJ1,Positive,1,0.89,24
SNJ2,Positive,1,0.2,24
SNJ3,Negative,0,-0.4,24
SNJ4,Positive,1,0.05,24
TQ1,Negative,0,-1.7,25
TQ2,Negative,0,-0.61,25
TQ3,Negative,0,-0.34,25
TQ4,Negative,0,-1.16,25
WT1,Negative,0,-0.1,26
WT2,Negative,0,-1.37,26
WT3,Negative,0,-0.58,26
WT4,Negative,0,-0.48,26
WY1,Negative,0,-0.37,27
WY2,Positive,1,0.98,27
WY3,Negative,0,-0.64,27
WY4,Positive,1,0.08,27
XTZL1,Negative,0,-1.93,28
XTZL2,Negative,0,-0.68,28
XTZL3,Negative,0,-1.71,28
XTZL4,Negative,0,-1.21,28
